degree_type,technical_skills,soft_skills,cgpa,projects,internships,communication_level,technical_skill_level,years_of_experience,specialization,package
PhD,2,8,7.53,4,0,5,3,2,App Development,13.82
MCA,7,10,8.22,7,4,2,4,2,App Development,19.18
B.Sc,9,9,9.55,0,1,5,3,1,Cybersecurity,13.19
PhD,10,1,8.54,1,2,2,5,3,Cybersecurity,16.68
BCA,18,1,5.23,6,2,5,5,2,Data Science,13.73
B.Sc,7,10,9.19,0,1,5,4,0,Cloud Computing,15.44
B.Sc,7,2,9.95,10,2,4,3,0,Cybersecurity,20.14
PhD,3,6,7.36,4,0,1,5,4,Data Science,14.42
M.Tech,12,1,9.85,9,4,5,4,0,AI/ML,19.43
BCA,7,5,7.74,7,4,1,5,3,Cybersecurity,14.65
PhD,17,5,7.3,5,5,1,1,3,Data Science,13.97
BCA,1,4,6.66,2,4,5,1,2,None,11.31
BCA,5,5,8.29,6,1,1,5,3,Web Development,17.35
B.Sc,16,1,6.15,2,1,2,4,3,Cybersecurity,14.01
MCA,15,6,5.52,4,0,3,1,2,AI/ML,10.0
BCA,2,7,5.14,6,1,2,5,4,Data Science,13.2
M.Sc,9,8,6.46,1,5,5,2,3,App Development,16.93
B.Sc,7,2,6.98,9,4,2,3,3,App Development,14.49
M.Tech,4,7,7.76,3,5,3,5,1,Cybersecurity,15.81
MCA,20,6,6.46,1,0,2,1,4,Cybersecurity,11.78
M.Sc,18,9,9.92,6,0,1,5,2,Web Development,14.18
M.Sc,4,8,6.46,2,4,5,4,1,Data Science,15.29
M.Tech,13,4,7.2,8,3,1,1,5,None,16.03
MCA,1,9,5.52,10,4,1,4,1,Data Science,15.93
B.Sc,3,1,6.3,5,0,5,4,4,Data Science,15.39
B.Tech,16,6,5.24,0,3,5,4,3,Cloud Computing,15.06
MCA,4,8,7.8,9,4,4,5,2,App Development,16.74
M.Tech,16,4,8.76,7,4,3,1,4,Web Development,18.19
M.Sc,19,2,5.98,6,3,1,4,1,App Development,12.8
B.Sc,1,2,6.84,0,3,1,2,0,Data Science,15.31
MCA,5,10,5.08,2,2,5,3,2,Web Development,12.23
B.Tech,19,1,9.2,2,5,5,5,0,Cloud Computing,20.69
B.Tech,11,5,8.9,2,3,2,2,5,None,15.63
BCA,13,6,5.32,6,1,1,1,5,Data Science,10.45
BCA,20,4,6.82,5,3,1,3,3,Web Development,12.89
PhD,5,4,9.78,10,0,5,4,4,Web Development,15.39
M.Tech,4,5,6.96,1,3,1,2,3,Cloud Computing,12.21
MCA,4,5,7.63,4,4,3,2,4,Web Development,16.37
MCA,4,9,6.78,5,1,4,4,1,Cloud Computing,14.97
PhD,4,8,7.98,1,3,5,4,3,Cybersecurity,16.65
M.Sc,20,9,9.89,0,1,5,2,0,None,11.89
M.Sc,18,3,9.99,3,5,1,1,1,Web Development,14.19
PhD,18,3,8.87,3,2,4,5,4,Cloud Computing,17.58
M.Sc,16,1,7.02,3,1,4,1,1,App Development,15.15
BCA,9,10,7.47,0,4,5,1,0,AI/ML,14.18
MCA,18,6,6.78,2,2,5,5,2,Data Science,13.8
PhD,2,4,9.93,6,3,5,1,4,None,15.1
MCA,4,8,8.54,3,5,3,3,2,Data Science,16.38
B.Tech,12,2,7.24,1,5,1,4,1,Data Science,16.09
