degree_type,technical_skills,soft_skills,cgpa,projects,internships,communication_level,technical_skill_level,years_of_experience,specialization,project_exp,package
7,2,8,2,4,0,5,3,2,1,8,13.82
6,7,10,3,7,4,2,4,2,1,14,19.18
1,9,9,3,0,1,5,3,1,2,0,13.19
7,10,1,3,1,2,2,5,3,2,3,16.68
3,18,1,1,6,2,5,5,2,3,12,13.73
1,7,10,3,0,1,5,4,0,4,0,15.44
1,7,2,3,10,2,4,3,0,2,0,20.14
7,3,6,2,4,0,1,5,4,3,16,14.42
5,12,1,3,9,4,5,4,0,5,0,19.43
3,7,5,2,7,4,1,5,3,2,21,14.65
7,17,5,2,5,5,1,1,3,3,15,13.97
3,5,5,3,6,1,1,5,3,6,18,17.35
1,16,1,2,2,1,2,4,3,2,6,14.01
6,15,6,1,4,0,3,1,2,5,8,10.0
3,2,7,1,6,1,2,5,4,3,24,13.2
4,9,8,2,1,5,5,2,3,1,3,16.93
1,7,2,2,9,4,2,3,3,1,27,14.49
5,4,7,2,3,5,3,5,1,2,3,15.81
6,20,6,2,1,0,2,1,4,2,4,11.78
4,18,9,3,6,0,1,5,2,6,12,14.18
4,4,8,2,2,4,5,4,1,3,2,15.29
6,1,9,1,10,4,1,4,1,3,10,15.93
1,3,1,2,5,0,5,4,4,3,20,15.39
2,16,6,1,0,3,5,4,3,4,0,15.06
6,4,8,2,9,4,4,5,2,1,18,16.74
5,16,4,3,7,4,3,1,4,6,28,18.19
4,19,2,1,6,3,1,4,1,1,6,12.8
1,1,2,2,0,3,1,2,0,3,0,15.31
6,5,10,1,2,2,5,3,2,6,4,12.23
2,19,1,3,2,5,5,5,0,4,0,20.69
3,13,6,1,6,1,1,1,5,3,30,10.45
3,20,4,2,5,3,1,3,3,6,15,12.89
7,5,4,3,10,0,5,4,4,6,40,15.39
5,4,5,2,1,3,1,2,3,4,3,12.21
6,4,5,2,4,4,3,2,4,6,16,16.37
6,4,9,2,5,1,4,4,1,4,5,14.97
7,4,8,2,1,3,5,4,3,2,3,16.65
4,18,3,3,3,5,1,1,1,6,3,14.19
7,18,3,3,3,2,4,5,4,4,12,17.58
4,16,1,2,3,1,4,1,1,1,3,15.15
3,9,10,2,0,4,5,1,0,5,0,14.18
6,18,6,2,2,2,5,5,2,3,4,13.8
6,4,8,3,3,5,3,3,2,3,6,16.38
2,12,2,2,1,5,1,4,1,3,1,16.09
3,7,2,1,7,5,3,2,5,4,35,14.68
3,7,5,3,0,2,4,1,3,4,0,14.56
7,17,1,2,8,3,1,2,5,3,40,13.68
1,16,7,1,4,5,1,3,4,4,16,13.59
2,19,7,1,1,5,5,1,1,1,1,13.99
7,9,10,2,3,5,5,1,4,6,12,16.97
5,14,6,3,2,5,5,1,0,6,0,18.9
6,17,4,3,6,3,5,3,1,6,6,16.31
2,5,8,3,5,1,5,4,3,2,15,14.46
6,2,2,3,10,5,5,2,4,3,40,20.34
4,20,2,2,10,5,1,1,5,5,50,15.01
5,16,2,2,8,1,3,1,3,3,24,16.28
5,14,3,2,3,2,4,3,3,6,9,15.37
2,14,6,3,2,1,5,3,0,3,0,14.74
5,1,1,2,6,3,4,2,5,2,30,13.69
1,3,2,3,5,4,1,2,2,6,10,16.47
6,15,2,2,9,4,1,1,2,2,18,14.6
6,19,1,3,6,5,2,1,2,2,12,16.44
6,2,10,2,8,3,2,1,3,2,24,15.22
7,19,7,1,3,4,1,3,3,6,9,15.12
1,19,7,3,9,2,1,2,0,2,0,17.29
7,5,5,2,4,3,2,3,4,2,16,13.65
3,18,9,2,0,1,1,5,3,5,0,12.44
4,16,2,2,0,3,3,5,1,3,0,12.85
2,4,1,2,0,1,3,5,4,5,0,15.97
6,12,9,3,0,3,3,2,5,3,0,13.16
5,7,8,1,7,0,1,1,2,6,14,14.36
6,14,10,1,1,2,4,5,0,5,0,14.54
5,12,6,1,8,5,2,5,4,4,32,17.2
4,3,5,2,6,5,2,4,3,6,18,17.47
4,5,8,1,10,4,2,3,5,6,50,14.71
4,17,8,2,2,3,2,2,1,3,2,14.99
